"filename", "language", "JSON", "JSON with Comments", "TypeScript", "CSS", "HTML", "XML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\cupon\edit-cupon\edit-cupon.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\cupon\edit-cupon\edit-cupon.component.ts", "TypeScript", 0, 0, 170, 0, 0, 0, 0, 0, 0, 21, 191
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\cupon\index-cupon\index-cupon.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\cupon\index-cupon\index-cupon.component.html", "HTML", 0, 0, 0, 0, 141, 0, 0, 0, 40, 16, 197
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\cupon\index-cupon\index-cupon.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\cupon\index-cupon\index-cupon.component.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 8, 73
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\dashboard\dashboard.component.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 0, 2, 2, 14
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\dashboard\dashboard.component.html", "HTML", 0, 0, 0, 0, 62, 0, 0, 0, 6, 8, 76
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 111, 0, 0, 0, 0, 0, 6, 20, 137
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\egresos\egreso-create\egreso-create.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\egresos\egreso-create\egreso-create.component.html", "HTML", 0, 0, 0, 0, 308, 0, 0, 0, 46, 39, 393
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\egresos\egreso-create\egreso-create.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\egresos\egreso-create\egreso-create.component.ts", "TypeScript", 0, 0, 137, 0, 0, 0, 0, 0, 0, 32, 169
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\egresos\egreso-detalles\egreso-detalles.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\egresos\egreso-detalles\egreso-detalles.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\egresos\egreso-detalles\egreso-detalles.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\egresos\egreso-detalles\egreso-detalles.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
